2025-09-26 16:27:24	[Main thread]	ERROR	prediction15	3	Error: pandoc version 1.12.3 or higher is required and was not found (see the help page ?rmarkdown::pandoc_available). 
2025-09-26 16:27:24	[Main thread]	INFO	prediction15	execute	Creating cohorts
2025-09-26 16:27:24	[Main thread]	INFO	DatabaseConnector	connect	Connecting using PostgreSQL driver
2025-09-26 16:27:26	[Main thread]	INFO	CohortGenerator	createCohortTables	Creating cohort tables
2025-09-26 16:27:26	[Main thread]	WARN	SqlRender	readSql	can only read in bytes in a non-UTF-8 MBCS locale
2025-09-26 16:27:27	[Main thread]	INFO	CohortGenerator	logCreateTableMessage	- Created table cdm.prediction15
2025-09-26 16:27:27	[Main thread]	INFO	CohortGenerator	logCreateTableMessage	- Created table cdm.prediction15_inclusion
2025-09-26 16:27:27	[Main thread]	INFO	CohortGenerator	logCreateTableMessage	- Created table cdm.prediction15_inclusion_result
2025-09-26 16:27:27	[Main thread]	INFO	CohortGenerator	logCreateTableMessage	- Created table cdm.prediction15_inclusion_stats
2025-09-26 16:27:27	[Main thread]	INFO	CohortGenerator	logCreateTableMessage	- Created table cdm.prediction15_summary_stats
2025-09-26 16:27:27	[Main thread]	INFO	CohortGenerator	logCreateTableMessage	- Created table cdm.prediction15_censor_stats
2025-09-26 16:27:27	[Main thread]	INFO	CohortGenerator	createCohortTables	Creating cohort tables took 0.51secs
2025-09-26 16:27:27	[Main thread]	INFO	CohortGenerator	getCohortDefinitionSet	Loading cohortDefinitionSet
2025-09-26 16:27:30	[Main thread]	WARN	SqlRender	readSql	can only read in bytes in a non-UTF-8 MBCS locale
2025-09-26 16:27:30	[Main thread]	WARN	SqlRender	readSql	can only read in bytes in a non-UTF-8 MBCS locale
2025-09-26 16:27:30	[Main thread]	WARN	SqlRender	readSql	can only read in bytes in a non-UTF-8 MBCS locale
2025-09-26 16:27:30	[Main thread]	WARN	SqlRender	readSql	can only read in bytes in a non-UTF-8 MBCS locale
2025-09-26 16:27:30	[Main thread]	WARN	SqlRender	readSql	can only read in bytes in a non-UTF-8 MBCS locale
2025-09-26 16:27:30	[Main thread]	WARN	SqlRender	readSql	can only read in bytes in a non-UTF-8 MBCS locale
2025-09-26 16:27:30	[Main thread]	TRACE	CohortGenerator	generateCohortSet	Initiating cluster constisting only of main thread
2025-09-26 16:27:30	[Main thread]	INFO	CohortGenerator	FUN	1/3- Generating cohort: Vanco_o_ALT_0209
